GNAME|GNTYPE|LATDMS|LONDMS|ELEV|TOWNNAME
Gillett Cemetery|Cemetery|42.77313790|-72.87870880|511|WHITINGHAM
Gilmore Pond|Lake|44.08811500|-73.03650590|611|BRISTOL
Glastenbury Camp|Locale|42.97452310|-73.07288230|1087|GLASTENBURY
Glastenbury Mountain|Summit|42.97813420|-73.07121560|1142|GLASTENBURY
Glastenbury River|Stream|42.96202360|-72.99454670|587|SOMERSET
Glebe Mountain|Summit|43.18840940|-72.76065180|892|LONDONDERRY
Glebe View Cemetery|Cemetery|43.17813190|-72.82120910|384|LONDONDERRY
Gonya Brook|Stream|43.95228450|-73.02761400|395|RIPTON
Goodman Brook|Stream|43.23757550|-73.08871610|283|DORSET
Goodrich Brook|Stream|42.76008150|-73.05899170|341|STAMFORD
Goose City|Populated Place|42.96119120|-72.79148490|389|DOVER
Gore Cemetery|Cemetery|44.23227910|-72.96567460|324|STARKSBORO
Goshen|Populated Place|43.84950840|-73.02205630|346|GOSHEN
Goshen Brook|Stream|43.94589620|-72.98316850|434|RIPTON
Goshen Brook|Stream|43.96034000|-73.02761420|367|RIPTON
Goshen Dam|Dam|43.91450760|-73.00372390|524|GOSHEN
Goshen Four Corners|Locale|43.84228660|-72.99566670|442|GOSHEN
Goshen Mountain|Summit|43.82978690|-72.97094370|997|GOSHEN
Gould Brook|Stream|43.85061950|-73.02177850|348|GOSHEN
Grahamville School|School|43.14563230|-72.89621110|410|WINHALL
Grandview Cemetery|Cemetery|42.93674490|-73.24122010|227|SHAFTSBURY
Granite Hill|Summit|43.48340360|-72.89510250|521|SHREWSBURY
"Grant| Mount"|Summit|44.05228350|-72.92594730|1100|LINCOLN
Granville|Populated Place|43.98478560|-72.84622170|292|GRANVILLE
Granville Notch|Gap|44.03228480|-72.83205580|431|GRANVILLE
Granville State Reservation|Park|44.02784040|-72.83372250|417|GRANVILLE
Grass Mountain|Summit|43.05285520|-73.22344180|943|ARLINGTON
Graves Brook|Stream|42.82341480|-72.91037660|466|WHITINGHAM
Green Brook|Stream|43.73923300|-72.90899580|455|CHITTENDEN
Green Hill|Summit|43.45729300|-72.96371520|359|WALLINGFORD
Green Mount Cemetery|Cemetery|44.24838880|-73.06289870|184|STARKSBORO
Green Mountain|Summit|43.39784980|-72.96427020|747|WALLINGFORD
Green Mountains|Range|44.54366270|-72.81429030|1336|UNDERHILL
"Aeolus| Mount"|Summit|43.24063090|-73.03871510|975|DORSET
Green River|Stream|43.10202150|-73.21288570|169|ARLINGTON
Greendale Brook|Stream|43.31590700|-72.79093140|416|WESTON
Greenwood Cemetery|Cemetery|44.13089100|-73.09400780|134|BRISTOL
Griffith Brook|Stream|43.27618550|-72.86482190|423|PERU
Griffith Lake|Lake|43.30285170|-72.95926920|795|PERU
Grindstone Brook|Stream|43.92673030|-72.91399970|381|HANCOCK
Grout Pond|Lake|43.04452260|-72.94565670|681|STRATTON
Guernsey Brook|Stream|43.77534410|-72.79760480|239|STOCKBRIDGE
Gulf Brook|Stream|43.28340760|-73.00065910|218|DORSET
Gulf Brook|Stream|43.98867430|-72.85788860|363|GRANVILLE
Hagar Hill|Summit|42.91313510|-73.06510400|843|WOODFORD
Hale Brook|Stream|43.95534010|-73.02622510|385|RIPTON
Hale Mountain|Summit|42.96257830|-73.17760730|433|SHAFTSBURY
Hall Brook|Stream|42.89202530|-72.82370780|522|WILMINGTON
Hallock Brook|Stream|44.16894700|-72.98956250|390|STARKSBORO
Hallock Cemetery|Cemetery|44.22200100|-73.01678630|493|STARKSBORO
Halls Island|Island|43.79117470|-73.12039000|145|BRANDON
Halnon Brook|Stream|43.95283860|-73.13317140|108|SALISBURY
Hammond Hill|Summit|43.47034840|-72.83037830|511|MOUNT HOLLY
Hancock|Populated Place|43.92617520|-72.84122030|270|HANCOCK
Hancock Branch|Stream|43.92673090|-72.83733130|276|HANCOCK
Hancock Mountain|Summit|43.93895300|-72.82760910|619|HANCOCK
Hancock Tunnel|Tunnel|43.89062010|-72.85066410|636|HANCOCK
"Hancock| Lake"|Lake|42.82508000|-73.12871640|691|STAMFORD
Hanksville|Populated Place|44.24783440|-72.96206380|272|HUNTINGTON
Hapgood Pond|Lake|43.25396380|-72.89065580|465|PERU
Hapgood State Forest|Forest|43.22646420|-72.93537910|907|PERU
Harmon Hill|Summit|42.87091280|-73.13232780|704|WOODFORD
Harmonyville|Populated Place|43.03841270|-72.66259300|142|TOWNSHEND
Harriman Dam|Dam|42.79285970|-72.91509890|433|WHITINGHAM
Harriman Reservoir|Reservoir|42.79313750|-72.91482110|448|WHITINGHAM
Harrington Cobble|Summit|42.96035620|-73.16927370|446|SHAFTSBURY
Harris Brook|Stream|42.76008150|-73.05954730|341|STAMFORD
Harwood Hill School|School|42.91452290|-73.21038570|238|BENNINGTON
Hat Crown|Summit|43.93173010|-72.93927830|770|HANCOCK
Hateful Hill|Summit|43.47229270|-72.88815770|567|WALLINGFORD
Hathaway Cemetery|Cemetery|42.96480200|-72.85954260|683|DOVER
Hawk Hill|Summit|43.77728680|-73.06066650|218|BRANDON
Hawk Mountain|Summit|43.84812020|-72.94122110|779|ROCHESTER
Hayes Brook|Stream|43.78701020|-72.87955160|428|CHITTENDEN
Haystack Brook|Stream|42.91758030|-72.88370980|539|WILMINGTON
Haystack Mountain|Summit|42.91396910|-72.91954410|1039|WILMINGTON
Town of Killington|Civil|43.65673460|-72.78954680|561|KILLINGTON
Town of Shoreham|Civil|43.89200410|-73.31261810|105|SHOREHAM
Town of Shrewsbury|Civil|43.53645840|-72.85371320|530|SHREWSBURY
Town of Somerset|Civil|42.97202370|-72.94843430|632|SOMERSET
"South Burlington| City of"|Civil|44.44560530|-73.21568260|53|SOUTH BURLINGTON
Town of South Hero|Civil|44.62948980|-73.31402010|29|SOUTH HERO
Town of Springfield|Civil|43.28951910|-72.47897820|162|SPRINGFIELD
Town of Stamford|Civil|42.77869210|-73.07788120|555|STAMFORD
Town of Stannard|Civil|44.54394270|-72.20315720|526|STANNARD
Town of Starksboro|Civil|44.22700110|-72.99734170|613|STARKSBORO
Town of Stockbridge|Civil|43.76173340|-72.73704730|258|STOCKBRIDGE
Town of Stowe|Civil|44.48755320|-72.72234170|289|STOWE
Town of Strafford|Civil|43.86312370|-72.35898340|403|STRAFFORD
Town of Stratton|Civil|43.07979990|-72.91537810|975|STRATTON
Town of Sudbury|Civil|43.78450740|-73.17983540|237|SUDBURY
Town of Sunderland|Civil|43.06591080|-73.07816030|721|SUNDERLAND
Town of Sutton|Civil|44.65366340|-72.02926380|429|SUTTON
Town of Swanton|Civil|44.90976510|-73.12013160|47|SWANTON
Town of Thetford|Civil|43.83368040|-72.25036910|186|THETFORD
Town of Tinmouth|Civil|43.44895970|-73.05482800|423|TINMOUTH
Town of Topsham|Civil|44.12811930|-72.25509560|367|TOPSHAM
Town of Townshend|Civil|43.07118980|-72.66398190|251|TOWNSHEND
Town of Troy|Civil|44.92365740|-72.38566390|308|TROY
Town of Tunbridge|Civil|43.90034450|-72.48565410|172|TUNBRIDGE
Town of Underhill|Civil|44.53032910|-72.88206960|322|UNDERHILL
"Vergennes| City of"|Civil|44.16727710|-73.25540010|42|VERGENNES
Town of Vernon|Civil|42.76452710|-72.52314480|100|VERNON
Town of Vershire|Civil|43.95951130|-72.32481770|496|VERSHIRE
Town of Victory|Civil|44.54644440|-71.82842550|381|VICTORY
Town of Waitsfield|Civil|44.18061520|-72.79761490|304|WAITSFIELD
Town of Walden|Civil|44.48005490|-72.24621340|511|WALDEN
Town of Wallingford|Civil|43.44923770|-72.92982530|512|WALLINGFORD
Town of Waltham|Civil|44.12366730|-73.22817650|192|WALTHAM
Town of Wardsboro|Civil|43.02035690|-72.81759710|423|WARDSBORO
Town of Warren|Civil|44.11811610|-72.85733650|271|WARREN
Town of Washington|Civil|44.08006400|-72.42287800|537|WASHINGTON
Town of Waterbury|Civil|44.39199970|-72.74900760|187|WATERBURY
Town of Waterford|Civil|44.36783730|-71.93509250|392|WATERFORD
Town of Waterville|Civil|44.71366040|-72.73290200|296|WATERVILLE
Town of Weathersfield|Civil|43.39118390|-72.47564590|376|WEATHERSFIELD
Town of Wells|Civil|43.43368220|-73.19566320|182|WELLS
Town of West Fairlee|Civil|43.94312320|-72.22620360|221|WEST FAIRLEE
Town of Westfield|Civil|44.88004670|-72.48316710|542|WESTFIELD
Town of Westford|Civil|44.60699430|-73.00402270|142|WESTFORD
Town of West Haven|Civil|43.64339830|-73.36344700|164|WEST HAVEN
Town of Westminster|Civil|43.07480130|-72.50814470|252|WESTMINSTER
Town of Westmore|Civil|44.75699420|-72.02593090|552|WESTMORE
Town of Weston|Civil|43.31924030|-72.80093170|490|WESTON
Town of West Rutland|Civil|43.61228980|-73.06038580|149|WEST RUTLAND
Town of West Windsor|Civil|43.48618210|-72.49259150|316|WEST WINDSOR
Town of Weybridge|Civil|44.04116900|-73.22956380|40|WEYBRIDGE
Town of Wheelock|Civil|44.57894230|-72.14010000|489|WHEELOCK
Town of Whiting|Civil|43.86478360|-73.20178180|120|WHITING
Town of Whitingham|Civil|42.78258220|-72.86648620|423|WHITINGHAM
Town of Williamstown|Civil|44.10700720|-72.54066010|268|WILLIAMSTOWN
Town of Williston|Civil|44.43532910|-73.07984770|184|WILLISTON
Town of Wilmington|Civil|42.87452540|-72.86204220|473|WILMINGTON
Town of Windham|Civil|43.17368760|-72.72398400|537|WINDHAM
Town of Windsor|Civil|43.47590480|-72.42342430|313|WINDSOR
Town of Winhall|Civil|43.16924300|-72.92232310|550|WINHALL
"Winooski| City of"|Civil|44.49560460|-73.18457220|75|WINOOSKI
Town of Wolcott|Civil|44.57588570|-72.44066460|402|WOLCOTT
Town of Woodbury|Civil|44.43644450|-72.40482870|448|WOODBURY
Haystack Pond|Lake|42.91702460|-72.91704410|908|WILMINGTON
Healdville|Populated Place|43.43146040|-72.76565400|444|MOUNT HOLLY
Heartwellville|Populated Place|42.82980340|-72.98760120|545|READSBORO
Heather Brook|Stream|42.87146970|-72.92954420|468|SEARSBURG
Hedgehog Hill|Summit|43.40896080|-72.80176580|693|MOUNT HOLLY
Hedgehog Knoll|Summit|43.76506620|-72.84205010|624|PITTSFIELD
Hell Hollow Brook|Stream|42.91007920|-73.11621650|405|WOODFORD
Hemlock Hill|Summit|44.21866900|-72.89789540|706|FAYSTON
Hewitt Brook|Stream|43.72923310|-72.92455160|456|CHITTENDEN
Molly Stark School|School|42.89535650|-73.20455220|185|BENNINGTON
High Bridge Brook|Stream|44.18867030|-72.81983770|212|WAITSFIELD
High Knob|Summit|44.23172290|-73.03789790|415|STARKSBORO
Higley Hill|Summit|42.89369210|-72.79065120|682|MARLBORO
Hillsboro Cemetery|Cemetery|44.20616790|-73.03261960|383|STARKSBORO
Hillsboro Mountain|Summit|44.22839010|-72.99039710|758|STARKSBORO
Hinsdellville Cemetery|Cemetery|42.91480060|-73.23649760|177|BENNINGTON
Hogback Mountain|Summit|43.88117480|-73.00538990|687|GOSHEN
Hogback Mountains|Ridge|44.19922310|-73.07984240|506|MONKTON
"Holly| Mount"|Summit|43.43007140|-72.83898930|602|MOUNT HOLLY
Holt Mountain|Summit|43.30285170|-72.83593250|761|WESTON
Holy Cross Novitiate|Church|42.86757880|-73.21844140|333|BENNINGTON
Homer Stone Brook|Stream|43.40840500|-72.99343780|202|WALLINGFORD
Homer Stone Mountain|Summit|43.39479420|-72.94676970|756|MOUNT TABOR
Hoosac Range|Range|42.81674800|-72.99954590|714|READSBORO
Horrid Brook|Stream|43.85478670|-72.94177670|570|ROCHESTER
"Horrid| Mount"|Summit|43.85034220|-72.96705510|970|ROCHESTER
Horton Cemetery|Cemetery|43.71006660|-72.94844080|367|CHITTENDEN
Hortonville|Populated Place|43.46979290|-72.80482210|469|MOUNT HOLLY
Houghton Cemetery|Cemetery|42.75285930|-73.06704750|338|STAMFORD
Houghton Mountain|Summit|42.81896940|-73.08510400|939|STAMFORD
Howden Hall School|School|44.13311340|-73.08150760|162|BRISTOL
Howe Brook|Stream|43.92006420|-72.83816450|277|HANCOCK
Howe Pond|Lake|42.78424850|-72.98593420|591|READSBORO
Howe Pond Brook|Stream|42.78147090|-72.96065560|474|READSBORO
Hunter Brook|Stream|42.94369160|-72.75315030|283|NEWFANE
Huntington Gap|Gap|44.24144620|-72.90845170|670|FAYSTON
Huntington River|Stream|44.38366490|-72.93928890|96|RICHMOND
Irasville|Populated Place|44.18144810|-72.84039340|235|WAITSFIELD
Isham Brook|Stream|44.11755900|-73.01761740|274|LINCOLN
Jamaica|Populated Place|43.10035560|-72.77842960|219|JAMAICA
Jarvis Hill|Summit|42.76674890|-72.94121060|453|READSBORO
Jenny Coolidge Brook|Stream|43.34090650|-72.80954320|493|WESTON
Jerusalem|Populated Place|43.83839890|-72.77371670|513|ROCHESTER
Jerusalem|Populated Place|44.16978050|-72.97039540|446|STARKSBORO
Jerusalem Cemetery|Cemetery|44.16978040|-72.98456240|408|STARKSBORO
Jerusalem Trail|Trail|44.18283600|-72.94983990|698|BUELS GORE
Jewett Brook|Stream|42.87146800|-73.18316260|225|BENNINGTON
Jillson Hill|Summit|42.74313830|-72.88037530|678|WHITINGHAM
Jimmy Dean Brook|Stream|43.72673350|-72.82316000|322|PITTSFIELD
Joe Smith Brook|Stream|43.84534270|-72.89983110|402|CHITTENDEN
Johnson Brook|Stream|43.73367780|-72.82038230|305|PITTSFIELD
Johnson Hill|Summit|42.95535770|-72.86009810|752|DOVER
Jones Brook|Stream|43.77589770|-73.07983350|107|BRANDON
Jones Brook|Stream|43.26257470|-72.85787710|418|LANDGROVE
Jones Mill Pond|Lake|43.78312010|-73.06177780|131|BRANDON
Jones Mountain|Summit|43.86950880|-72.91872100|632|ROCHESTER
June Cemetery|Cemetery|43.76506480|-73.06094410|169|BRANDON
Kansas|Populated Place|43.05785540|-73.13093950|252|SUNDERLAND
Kate Hollow|Valley|43.18952060|-73.13455040|400|SANDGATE
Keewaydin Trail|Trail|43.92839540|-73.06622530|425|SALISBURY
Kelley Stand|Locale|43.05341100|-73.05482650|659|SUNDERLAND
Kelly Camp Trail|Trail|42.86174720|-73.01704670|642|WOODFORD
Kendall Brook|Stream|43.98561900|-72.84511050|295|GRANVILLE
Kent Brook|Stream|43.68062320|-72.78288040|366|KILLINGTON
Kent Pond|Reservoir|43.67645650|-72.80482540|466|KILLINGTON
Kettle Brook|Stream|43.80450950|-72.97205430|550|CHITTENDEN
Kew Hill|Summit|44.15922620|-72.86094880|572|WAITSFIELD
Kidder Brook|Stream|43.09785540|-72.86037650|464|JAMAICA
Kiln Brook|Stream|43.75395480|-72.96705310|335|CHITTENDEN
Kings Pond|Lake|43.86062040|-72.87260850|298|ROCHESTER
Kirby Hollow|Valley|43.26563070|-73.09816080|282|DORSET
Kirby Peak|Summit|43.96311850|-72.94455680|947|HANCOCK
Knights Hill|Summit|43.79173250|-72.86649570|646|PITTSFIELD
Ladd Brook|Stream|42.76202380|-73.23871930|164|POWNAL
Lake Brook|Stream|43.35562840|-72.92954670|505|MOUNT TABOR
Lake Dunmore|Populated Place|43.90895110|-73.08705860|185|SALISBURY
Lake Dunmore School|School|43.92728390|-73.10178140|120|SALISBURY
Lamb Brook|Stream|42.81424810|-72.97426730|544|READSBORO
"Lana| Falls of"|Falls|43.90422930|-73.06261360|237|SALISBURY
Landgrove School|School|43.26674130|-72.85704380|423|LANDGROVE
Laurel Glen Cemetery|Cemetery|43.48562590|-72.87982430|310|SHREWSBURY
Lead Mine Mountain|Summit|43.79812060|-73.00511050|793|CHITTENDEN
Lee Cemetery|Cemetery|44.10950380|-72.99845020|299|LINCOLN
Lefferts Pond|Lake|43.71562230|-72.90177300|458|CHITTENDEN
Leicester|Populated Place|43.86672930|-73.10789140|135|LEICESTER
Leicester Hollow Brook|Stream|43.83728610|-73.04316750|226|BRANDON
Leicester River|Stream|43.86589540|-73.14761430|114|LEICESTER
Lewis Creek|Stream|44.24755290|-73.28040240|29|FERRISBURG
Liberty Hill|Summit|43.82506560|-72.81010620|473|PITTSFIELD
Lily Pond|Lake|43.23451970|-72.75065170|454|LONDONDERRY
Lincoln|Populated Place|44.10589280|-72.99706120|293|LINCOLN
Lincoln Brook|Stream|44.10367180|-72.86094730|281|WARREN
Lincoln Community School|School|44.09783760|-72.98594970|312|LINCOLN
Lincoln Gap|Gap|44.09506040|-72.92900400|734|LINCOLN
Lincoln Mountain|Summit|44.15367010|-72.92872770|1184|WARREN
Lincoln Peak|Summit|44.12728180|-72.92844920|1178|LINCOLN
Lion Hill|Summit|43.83867440|-73.08344600|256|BRANDON
Little Black Branch|Stream|43.37035030|-72.96260330|464|MOUNT TABOR
Little Brook|Stream|43.71617740|-73.00455340|144|PITTSFORD
Little Ireland Cemetery|Cemetery|44.19561300|-72.99900760|481|STARKSBORO
Little Mad Tom Brook|Stream|43.21618660|-73.00954780|225|DORSET
Little Mud Pond|Lake|43.13479890|-72.98315810|702|WINHALL
Little Mud Pond|Lake|43.31590690|-72.93760210|789|MOUNT TABOR
Little Otter Creek|Stream|44.24394190|-73.28123580|36|FERRISBURG
Little Pico|Summit|43.63645700|-72.82010290|942|KILLINGTON
Little Pico Mountain|Summit|43.86395350|-72.89344240|664|ROCHESTER
Little Pond|Lake|42.92507930|-73.06454840|793|WOODFORD
Little Pond|Lake|43.12313260|-72.94343460|752|WINHALL
Little Pond Brook|Stream|42.91619080|-73.02815850|621|WOODFORD
Little Rock Pond|Lake|43.40062750|-72.95621450|571|WALLINGFORD
Little Turkey Mountain Brook|Stream|43.09480020|-72.73259500|235|JAMAICA
Little Wilcox Peak|Summit|43.82006560|-72.82871770|828|PITTSFIELD
Lockwood Brook|Stream|44.17505890|-72.88622740|368|FAYSTON
Londonderry|Populated Place|43.22646430|-72.80648660|344|LONDONDERRY
Long Hill|Summit|43.71728860|-72.97871950|548|PITTSFORD
Long Hole|Lake|43.30701820|-72.95121350|781|MOUNT TABOR
Long Trail|Trail|43.88506380|-72.97538930|818|HANCOCK
Lookout Rock|Summit|43.17035420|-73.11121660|1104|MANCHESTER
Lost Mountain|Summit|44.03450730|-72.79094390|765|GRANVILLE
Lost Pond|Lake|42.94452360|-73.05232600|898|GLASTENBURY
Lost Pond|Lake|43.04007800|-73.02704790|803|SUNDERLAND
Lost Pond|Lake|43.34062870|-72.94176910|833|MOUNT TABOR
Lowell Lake|Reservoir|43.22257550|-72.76481880|412|LONDONDERRY
Lowell Lake Cemetery|Cemetery|43.22174220|-72.76426310|410|LONDONDERRY
Lower Granville|Populated Place|43.96839690|-72.84288780|285|GRANVILLE
Ludlow Mountain|Summit|43.40396090|-72.75148660|1009|MOUNT HOLLY
Lye Brook|Stream|43.14452100|-73.05982660|200|MANCHESTER
Lye Brook Hollow|Valley|43.15813200|-73.04177060|228|MANCHESTER
Lye Brook Meadows|Flat|43.08868840|-73.02815910|799|SUNDERLAND
Lye Brook Trail|Trail|43.10507710|-73.03121480|777|SUNDERLAND
Lyman Brook|Stream|43.05952200|-73.06816010|622|SUNDERLAND
Lyman Brook|Stream|43.25757490|-72.71592870|355|ANDOVER
MacIntyre|Populated Place|43.02396700|-73.07121580|629|SUNDERLAND
Mad River|Stream|44.29894660|-72.69594820|131|MORETOWN
Mad Tom Brook|Stream|43.22840860|-73.00982560|232|DORSET
Mad Tom Notch|Gap|43.25646370|-72.93815710|750|PERU
Mad Tom Trail|Trail|43.24174180|-72.97871380|432|DORSET
Manchester|Populated Place|43.16368750|-73.07232690|269|MANCHESTER
Manchester Center|Populated Place|43.17702060|-73.05704880|227|MANCHESTER
Manchester Depot|Populated Place|43.17396510|-73.03565940|215|MANCHESTER
Manchester Elementary School|School|43.17896500|-73.05427090|234|MANCHESTER
Mann Hill|Summit|42.78313500|-73.22205220|428|POWNAL
Maple Cemetery|Cemetery|44.11005940|-73.00095030|294|LINCOLN
Maple Grove Cemetery|Cemetery|43.35618400|-73.05510510|440|DANBY
Maple Grove Cemetery|Cemetery|43.45062660|-72.87343490|367|WALLINGFORD
Maple Grove School|School|42.82896840|-73.17455100|320|POWNAL
Maple Hill|Summit|42.89535730|-73.09288240|816|WOODFORD
Maple Hill|Summit|42.99535590|-73.14927330|525|SHAFTSBURY
Maple Hill Cemetery|Cemetery|43.25174210|-73.09343840|294|DORSET
Maplewood Cemetery|Cemetery|43.78617740|-72.75538170|246|STOCKBRIDGE
Markham Mountain|Summit|43.27396340|-72.75843010|762|ANDOVER
Marshs Brook|Stream|43.89784240|-72.82094140|252|ROCHESTER
Mason Hill|Summit|42.76813530|-73.20427380|506|POWNAL
McGinn Brook|Stream|43.31701800|-72.98927020|201|MOUNT TABOR
Meadow Brook|Stream|42.89674760|-72.81454090|540|WILMINGTON
Meadow Brook|Stream|43.41701610|-72.84926720|445|MOUNT HOLLY
Mears Hollow|Valley|43.18840950|-73.13399480|399|SANDGATE
Medbury Brook|Stream|42.87119190|-72.93232210|471|SEARSBURG
Medburyville|Populated Place|42.87035860|-72.92037720|469|WILMINGTON
Mendon|Populated Place|43.65145650|-72.92705040|321|MENDON
Mendon Brook|Stream|43.65228970|-72.95010660|270|RUTLAND
Merrill Cemetery|Cemetery|44.14172530|-73.00372880|441|LINCOLN
Michigan|Populated Place|43.78951010|-72.88482950|442|CHITTENDEN
Michigan Brook|Stream|43.78978790|-72.88344060|437|CHITTENDEN
Middle Branch Middlebury River|Stream|43.97395070|-73.03511460|322|RIPTON
Middle Brook|Stream|43.70617820|-72.82427080|376|KILLINGTON
Middlebury College Snow Bowl|Area|43.93061890|-72.95594530|682|HANCOCK
Middlebury Gap|Gap|43.93645220|-72.94927860|654|HANCOCK
Middlebury River|Stream|43.96950470|-73.15678320|105|MIDDLEBURY
Middlebury Water Supply|Reservoir|44.07339270|-73.06039480|319|BRISTOL
Middletown Cemetery|Cemetery|43.15924320|-72.90371140|476|WINHALL
Middletown Cemetery|Cemetery|43.21063130|-72.81287560|412|LONDONDERRY
Mill Brook|Stream|43.03396830|-72.66620410|132|TOWNSHEND
Mill Brook|Stream|43.11507700|-73.10955000|193|SUNDERLAND
Mill Brook|Stream|43.15007670|-72.83954280|336|JAMAICA
Mill Brook|Stream|43.35007290|-72.98899260|202|MOUNT TABOR
Mill Brook|Stream|44.17922600|-72.83428210|216|WAITSFIELD
Mill Pond|Lake|42.91924630|-73.02732520|625|WOODFORD
Mill Pond Brook|Stream|42.91785750|-73.02538060|620|WOODFORD
Mill River|Stream|43.50645870|-72.97566040|164|CLARENDON
Mill Village Chapel|Church|43.63840100|-72.97594030|196|RUTLAND
Miller Cemetery|Cemetery|42.74730370|-73.07399200|335|STAMFORD
Mills Brook|Stream|44.07422810|-72.85955760|336|WARREN
Molly Stark Mountain|Summit|44.22200190|-72.92706260|882|BUELS GORE
Molly Stark Trail|Trail|42.89730200|-73.05371470|720|WOODFORD
Monastery Gap|Gap|43.91061920|-72.95150030|724|HANCOCK
Monastery Mountain|Summit|43.90700820|-72.93788880|977|HANCOCK
Monkton Church|Church|44.20450030|-73.10984300|156|MONKTON
"Moosalamoo| Mount"|Summit|43.93034010|-73.04983620|789|SALISBURY
Moretown|Populated Place|44.25089180|-72.76094960|179|MORETOWN
Morgan Hill|Summit|43.29007420|-72.81232060|517|WESTON
Morrill Brook|Stream|43.79228790|-72.88455180|451|CHITTENDEN
Moses Pond|Lake|43.33424000|-72.84287740|675|WESTON
Moss Glen Falls|Falls|44.01811830|-72.85038920|387|GRANVILLE
Mother Myrick Mountain|Summit|43.21340920|-73.11677220|1019|MANCHESTER
"Anthony| Mount"|Summit|42.86368980|-73.23233070|716|BENNINGTON
Mount Carmel State Forest|Forest|43.77145470|-72.92010790|917|CHITTENDEN
Mount Holly|Populated Place|43.45229320|-72.82482250|475|MOUNT HOLLY
Mount Laurel School|School|43.18924270|-73.04427070|250|MANCHESTER
Mount Pleasant|Populated Place|43.80839700|-73.08900100|199|BRANDON
Mount Pleasant School|School|43.05896640|-73.13093950|250|SUNDERLAND
Mount Saint Joseph Cemetery|Cemetery|44.14311300|-73.09956370|158|BRISTOL
Mount Tabor Brook|Stream|43.30979600|-72.87871150|496|MOUNT TABOR
Mount Tabor Cemetery|Cemetery|43.34812860|-72.98315920|200|MOUNT TABOR
Mountain Brook|Stream|43.36868380|-73.10149480|321|DANBY
Bristol Elementary School|School|44.13755780|-73.07761880|181|BRISTOL
Mountain Top Club|Locale|43.73034410|-72.93844090|557|CHITTENDEN
Mountain Trails Campground|Locale|43.91200890|-72.81149690|439|ROCHESTER
Mountain View Cemetery|Cemetery|42.96007970|-72.88926570|590|DOVER
Mountain View Cemetery|Cemetery|44.24700280|-72.77400520|216|MORETOWN
Mud Pond|Lake|42.83258070|-73.04121390|680|STAMFORD
Mud Pond|Lake|43.22285320|-72.87065510|434|PERU
Muddy Branch|Stream|44.06061420|-73.14789610|84|NEW HAVEN
Mundal Hill|Summit|43.05035620|-72.86343200|647|WARDSBORO
Munger Street Cemetery|Cemetery|44.05617020|-73.11483990|146|NEW HAVEN
Munson Brook|Stream|43.16757630|-73.05454870|222|MANCHESTER
Nancy Hanks Peak|Summit|44.13311510|-72.92900490|1153|LINCOLN
Nason Brook|Stream|43.86784290|-72.80927370|250|ROCHESTER
Negro Brook|Stream|43.04285700|-72.69148250|138|TOWNSHEND
Negus Brook|Stream|42.92035830|-72.83898610|482|WILMINGTON
Neshobe River|Stream|43.77978640|-73.08788930|106|BRANDON
Netop Mountain|Summit|43.27118580|-73.03315960|871|DORSET
New Boston|Populated Place|43.82089920|-72.76427160|504|STOCKBRIDGE
New Boston Trail|Trail|43.76145480|-72.92149650|685|CHITTENDEN
New Haven Mills|Populated Place|44.09172510|-73.10872950|112|NEW HAVEN
New Haven River|Stream|44.06339140|-73.18039670|73|NEW HAVEN
"Nickwaket| Mount"|Summit|43.77895430|-72.99399870|824|CHITTENDEN
Niles School|School|42.96230020|-73.23788670|247|SHAFTSBURY
"Ninevah| Lake"|Reservoir|43.47090400|-72.75509860|535|MOUNT HOLLY
Number Nine Brook|Stream|42.78980420|-72.89482050|463|WHITINGHAM
North Alder Brook|Stream|43.04980000|-73.04177050|693|SUNDERLAND
North Bennington|Populated Place|42.93035600|-73.24260900|196|BENNINGTON
North Bennington Reservoir|Reservoir|42.96202280|-73.15288440|429|SHAFTSBURY
North Branch Ball Mountain Brook|Stream|43.08785570|-72.81704180|320|JAMAICA
North Branch Deerfield River|Stream|42.86730310|-72.90121000|449|WILMINGTON
North Branch Middlebury River|Stream|43.97533920|-73.06289280|249|MIDDLEBURY
North Branch Neshobe River|Stream|43.84173070|-73.03150070|283|BRANDON
North Branch Sucker Brook|Stream|43.90950710|-73.04844680|354|SALISBURY
North Cemetery|Cemetery|43.09424430|-72.88843290|610|STRATTON
North Cemetery|Cemetery|43.24507500|-72.89093350|512|PERU
North Chittenden|Populated Place|43.74034380|-72.97594200|307|CHITTENDEN
North Dorset|Populated Place|43.28396320|-73.00232580|220|DORSET
North Fayston|Populated Place|44.24200230|-72.83817280|338|FAYSTON
North Hill|Summit|42.79591510|-72.94732200|652|READSBORO
North Hill Cemetery|Cemetery|42.78785970|-72.94343300|609|READSBORO
North Hollow Cemetery|Cemetery|43.91617560|-72.80371910|443|ROCHESTER
North Hollow Cemetery|Cemetery|43.99561900|-72.82594360|450|GRANVILLE
North Landgrove|Populated Place|43.25979700|-72.84871020|429|LANDGROVE
North Pond|Lake|43.74867740|-72.88593980|784|CHITTENDEN
North Pond|Lake|44.10339220|-73.04650640|648|BRISTOL
North Sherburne|Populated Place|43.71034480|-72.82732650|371|KILLINGTON
Northfield Mountains|Range|44.13117200|-72.77900190|844|NORTHFIELD
Norton Hill|Summit|44.18644640|-73.00817430|613|STARKSBORO
Nunge Brook|Stream|42.79341410|-73.08177040|592|STAMFORD
